County	Location	Last Update	Total Employees	Full Time Sworn Officers	Part Time Sworn Officers	Full Time Civilians	Part Time Civilians	Chief Name	Pennsylvania Chief of Police Association Accreditation	Acreditation Date	Police Chief Degree From	Officer Contact Info listed	Budget	Notes	Address	Phone Number
Montgomery	Norristown	1/20/2022	81	71		10		Michael Bishop	N						235 East Airy Street Norristown, PA 19401	610-270-0977
Montgomery	North Wales	1/20/2022	10	4	1	2	3	David Erenius	N						300 School St. North Wales, PA 19454	215-699-9279
Montgomery	Plymouth	1/20/2022	9	4		5		John C. Myrsiades	N						700 Belvoir Road Plymouth Meeting, PA 19462	610-279-1901
Montgomery	Pottstown	1/20/2022	59	46		13		Michael Markovich	N						100 E. High Street Pottstown, PA 19464	610-970-6580
Montgomery	Rockledge	1/20/2022	15	7	8			John Gallagher	N						One Park Avenue Rockledge, PA 19046	215-379-8801
Montgomery	Royersford	1/20/2022	15	13		1	1	Scot Fennelly	N						300 Main Street, PO Box 188 Royersford, PA 19468	610-948-3305
Montgomery	Schwenksville	1/20/2022	0					N/A - state police	Y						Skippack Barracks, 2047C Bridge Road Schwenksville, PA 19473	610-584-1250
Montgomery	Souderton	1/20/2022	11	5		5	1	Megan M. Jarrell	N		only woman?				31 W. Summit Street Souderton, PA 18964	215-723-6500
Montgomery	Springfield	1/20/2022	40	36		4		Michael E. Pitkow	N			https://www.springfieldpd.com/personnel/directory.html			1510 Paper Mill Road Wyndmoor, PA 19038	215-836-1601
Montgomery	Telford	1/20/2022	9	6		1	2	Randall S. Floyd	Y						100 Penn Avenue Telford, PA 18969	215-723-6700
Montgomery	Towamencin	1/20/2022	29	22		3	4	Timothy Troxel	Y						1090 Troxel Road Lansdale, PA 19446	215-368-7606
Montgomery	Upper Dublin	1/20/2022	62	41		8	13	Francis Wheatley	Y						801 Loch Alsh Avenue Fort Washington, PA 19034	215-646-2101
Montgomery	Upper Gwynedd	1/21/2022	34	31		3		David Duffy	Y			they have a page on how why they deny right to know requests. surprisingly little info for the size.			1 Parkside Place North Wales, PA 19486	215-699-5861
Montgomery	Upper Merion	1/21/2022	90	71		19		Thomas Nolan	Y						175 W. Valley Forge Rd. King of Prussia PA 19406	610-265-3232
Montgomery	Upper Moreland	1/21/2022	51	37		12	2	Andrew J. Block	N						117 Park Avenue Willow Grove, PA 19090	215-657-4700
Montgomery	Upper Perkiomen	1/21/2022	10	9		1		Joseph Adam Jr.	N			describes themselves as "aggressive"			88 West 6th Street Pennsburg, PA 18073	215-679-8203
Montgomery	Upper Pottsgrove	1/21/2022	10	9		1		James Fisher	N						1420 Heather Place Pottstown, PA 19464	610-326-8446
Montgomery	Upper Providence	1/21/2022	17	13	3	1		Mark Freeman	Y			might be the only black police chief?			1286 Black Rock Road, PO Box 406, Oaks, PA 19456	610-933-7899
Montgomery	West Conshohocken	1/21/2022	18	13	4	1		Sal Carfagno	N			interim chief			1001 New DeHaven St W. Conshohocken, PA 19428	610-940-5842
Montgomery	West Norriton	1/21/2022	32	27		5		MICHAEL KELLY	Y						1630 W. Marshall St. Jeffersonville, PA 19403	610-630-1701
Montgomery	West Pottsgrove	1/21/2022	11	8	3			Joseph F. Sokolofski	N						980 Grosstown Road Stowe, PA 19464	610-323-2090
Montgomery	Whitemarsh	1/21/2022	41	39		2		Christopher Ward	Y						616 Germantown Pike Lafayette Hill, PA 19444	610-825-3535
Montgomery	Whitpain	1/21/2022	38	31		7		Kenneth Lawson	Y			a lot of titles on their directory			960 Wentz Road Blue Bell, PA 19422	610-279-9033
Montgomery	PA State Police (Dublin)								Y							
Montgomery	State Police - Troop K - Skippack	1/24/2022	0						Y						2047C Bridge Road Schwenksville, PA 19473	(610) 584-1250
Montgomery	Montgomery County Sheriff's Department	1/24/2022							Y							
Montgomery	Pennsylvania Office of Attorney General	1/24/2022							Y							
Montgomery	Valley Nationl Park Rangers	2/26/2022							N*							
Bucks	Bristol Police	2/24/2022							Y							
Bucks	Bristol Borough Police	2/24/2022							N							
Bucks	Buckingham Police	2/24/2022							Y							
Bucks	Doylestown Police	2/24/2022							Y							
Bucks	Dublin Borough Police	2/24/2022							Y							
Bucks	Falls Police	2/24/2022							Y							
Bucks	Lower Makefield Police	2/24/2022							Y							
Bucks	Lower Southampton Police	2/24/2022							Y							
Bucks	Middletown Police	2/24/2022							Y							
Bucks	Morrisville Borough Police	2/24/2022							N							
Bucks	New Britain Police	2/24/2022							N							
Bucks	New Hope Borough Police	2/24/2022							Y							
Bucks	Newtown Borough Police	2/24/2022						Chief James J. Sabath	Y							
Bucks	Hilltown Police	2/26/2022							N							
Bucks	Newtown Police	2/24/2022							N							
Bucks	Northampton Police	2/24/2022							Y							
Bucks	PA State Police (Bensalem)	2/24/2022							Y							
Bucks	Bensalem Police	2/24/2022							N							
Bucks	Plumstead Police	2/24/2022							Y							
Bucks	Quakertown Borough Police	2/24/2022							Y							
Bucks	Solebury Police	2/24/2022							Y							
Bucks	Telford Borough Police	2/24/2022							N							
Bucks	Tinicum Police	2/24/2022							N							
Bucks	Tullytown Borough Police	2/24/2022							N							
Bucks	Upper Makefield Police	2/24/2022							Y							
Bucks	Upper Southampton Police	2/24/2022							Y							
Bucks	Warrington Police	2/24/2022							Y							
Bucks	Warwick Police	2/24/2022							N							
Bucks	Yardley Borough Police	2/24/2022							N							
Bucks	Richland Township Police	2/24/2022							Y							
Bucks	Central Bucks Regional Police	2/24/2022							Y							
Bucks	Warrington Police	2/24/2022							Y							
Bucks	Warminster Police	2/24/2022							Y							
Bucks	PA State Police (Trevose)	2/26/2022							Y							
Bucks	Pennridge Regional Police	2/26/2022							N							
Bucks	Perkasie Borough Police	2/26/2022							Y							
Bucks	PA State Police (Dublin)	2/26/2022							Y							
Bucks	Hulmeville Borough Police	2/26/2022							N							
Bucks	Langhorne Borough Police	2/26/2022							N							
Chester	Birmingham Township	2/26/2022							N							
Chester	Caln Township	2/24/2022							N							
Chester	Cheyney University Police	2/24/2022							N							
Chester	Coatesville Area School Police	2/24/2022							N							
Chester	Coatesville City	2/24/2022							N							
Chester	Coatesville VA	2/24/2022							N							
Chester	Downingtown Borough	2/24/2022							N							
Chester	East Brandywine	2/24/2022							Y							
Chester	East Coventry Township	2/24/2022							N							
Chester	East Fallowfield Township	2/24/2022							N							
Chester	East Marlborough Township	2/24/2022							N							
Chester	East Pikeland Township	2/24/2022							N							
Chester	East Vincent Township	2/24/2022							N							
Chester	East Whiteland Township	2/24/2022							Y							
Chester	Easttown Township	2/24/2022							N							
Chester	Hibernia County Park Rangers	2/24/2022							N							
Chester	Highland Township	2/24/2022							N							
Chester	Honey Brook Borough	2/24/2022							N							
Chester	Kennett Square Borough	2/24/2022							N							
Chester	Kennett Township	2/24/2022							N							
Chester	Lincoln University Police	2/24/2022							N							
Chester	Malvern Borough	2/24/2022							N							
Chester	New Garden Township	2/24/2022							N							
Chester	North Coventry Township	2/24/2022							Y							
Chester	OJR School Police	2/24/2022							N							
Chester	Oxford Borough	2/24/2022							N							
Chester	PA State Police Avondale	2/24/2022							N							
Chester	PA State Police Embreeville	2/24/2022							N							
Chester	PA State Turnpike Commission	2/24/2022							N							
Chester	Parkesburg Borough	2/24/2022							N							
Chester	Phoenixville Borough	2/24/2022							N							
Chester	Sadsbury Township	2/24/2022							N							
Chester	Schuylkill Township	2/24/2022							Y							
Chester	South Coatesville Borough	2/24/2022							N							
Chester	Southern Chester County Rdgional Police	2/24/2022							Y							
Chester	Southern Chester County Regional Police	2/24/2022							N							
Chester	Spring City Borough	2/24/2022							N							
Chester	Springton Manor Park Rangers	2/24/2022							N							
Chester	Tredyffrin Township	2/24/2022							N							
Chester	Upper Uwchlan Township	2/24/2022							Y							
Chester	Uwchlan Township	2/24/2022							N							
Chester	Valley Forge Natl Park Rangers	2/24/2022							N							
Chester	Valley Township	2/24/2022							N							
Chester	Warwick County Park Rangers	2/24/2022							N							
Chester	West Brandywine Township	2/24/2022							N							
Chester	West Caln Township	2/24/2022							N							
Chester	West Chester Borough	2/24/2022							Y							
Chester	West Chester University	2/24/2022							N							
Chester	West Fallowfield Township	2/24/2022							N							
Chester	West Goshen Township	2/24/2022							N							
Chester	West Nottingham Township	2/24/2022							N							
Chester	West Pikeland Township	2/24/2022							N							
Chester	West Sadsbury Township	2/24/2022							N							
Chester	West Vincent Township	2/24/2022							N							
Chester	West Whiteland Township	2/24/2022							N							
Chester	Westtown/E Goshen	2/24/2022							Y							
Chester	Willistown Township	2/24/2022							N							
Chester	Wolf's Hollow County Park Rangers	2/24/2022							N							
Chester	Hibernia County Park Rangers	2/26/2022							N							
Delaware	Aldan	2/24/2022							N							
Delaware	Aston	2/24/2022							N							
Delaware	Bethel	2/24/2022							N							
Delaware	Brookhaven	2/24/2022							N							
Delaware	Chester	2/24/2022							N							
Delaware	Chester City	2/24/2022							N							
Delaware	Clifton Heights	2/24/2022							N							
Delaware	Collingdale	2/24/2022							N							
Delaware	Colwyn	2/24/2022							N							
Delaware	East Lansdowne	2/24/2022							N							
Delaware	Eddystone	2/24/2022							Y							
Delaware	Folcroft	2/24/2022							N							
Delaware	Glenolden	2/24/2022							N							
Delaware	Haverford	2/24/2022							Y							
Delaware	Lansdowne	2/24/2022							N							
Delaware	Lower Chichester	2/24/2022							N							
Delaware	Marcus Hook	2/24/2022							N							
Delaware	Marple	2/24/2022							Y							
Delaware	Media	2/24/2022							N							
Delaware	Millbourne	2/24/2022							N							
Delaware	Morton	2/24/2022							N							
Delaware	Nether Providence	2/24/2022							Y							
Delaware	Newtown	2/24/2022							Y							
Delaware	Norwood	2/24/2022							N							
Delaware	Parkside	2/24/2022							N							
Delaware	Prospect Park	2/24/2022							N							
Delaware	Radnor	2/24/2022							Y							
Delaware	Ridley	2/24/2022							N							
Delaware	Ridley Park	2/24/2022							N							
Delaware	Sharon Hill	2/24/2022							N							
Delaware	Springfield	2/24/2022							Y							
Delaware	Trainer	2/24/2022							N							
Delaware	Upload	2/24/2022							N							
Delaware	Upper Chichester	2/24/2022							N							
Delaware	Upper Darby	2/24/2022							N							
Delaware	Upper Providence	2/24/2022							N							
Delaware	Yeadon	2/24/2022							N							
Delaware	Delaware County Sheriff	2/24/2022							Y							
Delaware	Villanove University Department of Public Safety	2/24/2022							Y							
Delaware	PSP MEDIA STATION	2/24/2022							Y							
Delaware	Swarthmore	2/26/2022							N							
																
																
Delaware	Darby	2/26/2022							N							
