Lea State,LEA,School State,School,ID,Year,Category,Instances,American Indian or Alaska Native,Asian or Pacific Islander,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,EL
PA,Lower Merion Sd,PA,Penn Valley Sch,421416003288,2000,Expulsions (total with or without educational services),,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Lower Merion Sd,PA,Penn Valley Sch,421416003288,2000,Expulsions without educational services,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Lower Merion Sd,PA,Penn Valley Sch,421416003288,2000,Expulsions under zero-tolerance policies,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Lower Merion Sd,PA,Penn Valley Sch,421416003288,2000,Total enrollment,,0.00,10.00,,,10.00,75.00,355.00,,450.00,0.00
PA,Lower Merion Sd,PA,Lower Merion Hs,421416003295,2000,Corporal punishment,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Lower Merion Sd,PA,Lower Merion Hs,421416003295,2000,Out-of-school suspension,,0.00,0.00,,,0.00,15.00,50.00,,60.00,0.00
PA,Lower Merion Sd,PA,Lower Merion Hs,421416003295,2000,Expulsions (total with or without educational services),,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Lower Merion Sd,PA,Lower Merion Hs,421416003295,2000,Expulsions without educational services,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Lower Merion Sd,PA,Lower Merion Hs,421416003295,2000,Expulsions under zero-tolerance policies,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Lower Merion Sd,PA,Lower Merion Hs,421416003295,2000,Total enrollment,,5.00,55.00,,,15.00,115.00,1105.00,,1290.00,5.00
PA,Lower Merion Sd,PA,Belmont Hills Elem,421416099001,2000,Corporal punishment,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Lower Merion Sd,PA,Belmont Hills Elem,421416099001,2000,Out-of-school suspension,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Lower Merion Sd,PA,Belmont Hills Elem,421416099001,2000,Expulsions (total with or without educational services),,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Lower Merion Sd,PA,Belmont Hills Elem,421416099001,2000,Expulsions without educational services,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Lower Merion Sd,PA,Belmont Hills Elem,421416099001,2000,Expulsions under zero-tolerance policies,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Lower Merion Sd,PA,Belmont Hills Elem,421416099001,2000,Total enrollment,,5.00,10.00,,,5.00,15.00,335.00,,370.00,0.00
PA,Lower Merion Sd,PA,Gladwyne Sch,421416003291,2000,Corporal punishment,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Lower Merion Sd,PA,Gladwyne Sch,421416003291,2000,Out-of-school suspension,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Lower Merion Sd,PA,Gladwyne Sch,421416003291,2000,Expulsions (total with or without educational services),,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Lower Merion Sd,PA,Gladwyne Sch,421416003291,2000,Expulsions without educational services,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Lower Merion Sd,PA,Gladwyne Sch,421416003291,2000,Expulsions under zero-tolerance policies,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Lower Merion Sd,PA,Gladwyne Sch,421416003291,2000,Total enrollment,,5.00,10.00,,,0.00,35.00,505.00,,555.00,0.00
PA,Lower Merion Sd,PA,Harriton Shs,421416003296,2000,Corporal punishment,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Lower Merion Sd,PA,Harriton Shs,421416003296,2000,Out-of-school suspension,,0.00,0.00,,,0.00,5.00,5.00,,10.00,0.00
PA,Lower Merion Sd,PA,Harriton Shs,421416003296,2000,Expulsions (total with or without educational services),,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Lower Merion Sd,PA,Harriton Shs,421416003296,2000,Expulsions without educational services,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Lower Merion Sd,PA,Harriton Shs,421416003296,2000,Expulsions under zero-tolerance policies,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Lower Merion Sd,PA,Harriton Shs,421416003296,2000,Total enrollment,,0.00,25.00,,,10.00,55.00,615.00,,705.00,5.00
PA,Upper Merion Area,PA,Candlebrook El Sch,422448003389,2000,Corporal punishment,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Upper Merion Area,PA,Candlebrook El Sch,422448003389,2000,Out-of-school suspension,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Upper Merion Area,PA,Candlebrook El Sch,422448003389,2000,Expulsions (total with or without educational services),,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Upper Merion Area,PA,Candlebrook El Sch,422448003389,2000,Expulsions without educational services,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Upper Merion Area,PA,Candlebrook El Sch,422448003389,2000,Expulsions under zero-tolerance policies,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Upper Merion Area,PA,Candlebrook El Sch,422448003389,2000,Total enrollment,,0.00,45.00,,,10.00,30.00,205.00,,285.00,10.00
PA,Upper Merion Area,PA,Upper Merion Hs,422448003395,2000,Corporal punishment,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Upper Merion Area,PA,Upper Merion Hs,422448003395,2000,Out-of-school suspension,,0.00,5.00,,,5.00,15.00,75.00,,95.00,0.00
PA,Upper Merion Area,PA,Upper Merion Hs,422448003395,2000,Expulsions (total with or without educational services),,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Upper Merion Area,PA,Upper Merion Hs,422448003395,2000,Expulsions without educational services,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Upper Merion Area,PA,Upper Merion Hs,422448003395,2000,Expulsions under zero-tolerance policies,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Upper Merion Area,PA,Upper Merion Hs,422448003395,2000,Total enrollment,,0.00,95.00,,,15.00,75.00,955.00,,1140.00,20.00
PA,Upper Merion Area,PA,Caley Road El Sch,422448004832,2000,Corporal punishment,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Upper Merion Area,PA,Caley Road El Sch,422448004832,2000,Out-of-school suspension,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Upper Merion Area,PA,Caley Road El Sch,422448004832,2000,Expulsions (total with or without educational services),,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Upper Merion Area,PA,Caley Road El Sch,422448004832,2000,Expulsions without educational services,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Upper Merion Area,PA,Caley Road El Sch,422448004832,2000,Expulsions under zero-tolerance policies,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Upper Merion Area,PA,Caley Road El Sch,422448004832,2000,Total enrollment,,0.00,35.00,,,5.00,15.00,315.00,,370.00,15.00
PA,Upper Perkiomen Sd,PA,Upper Perkiomen Hs,422454005081,2000,Corporal punishment,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Upper Perkiomen Sd,PA,Upper Perkiomen Hs,422454005081,2000,Out-of-school suspension,,0.00,0.00,,,0.00,0.00,35.00,,35.00,0.00
PA,Upper Perkiomen Sd,PA,Upper Perkiomen Hs,422454005081,2000,Expulsions (total with or without educational services),,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Upper Perkiomen Sd,PA,Upper Perkiomen Hs,422454005081,2000,Expulsions without educational services,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Upper Perkiomen Sd,PA,Upper Perkiomen Hs,422454005081,2000,Expulsions under zero-tolerance policies,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Upper Perkiomen Sd,PA,Upper Perkiomen Hs,422454005081,2000,Total enrollment,,0.00,5.00,,,20.00,10.00,1060.00,,1095.00,0.00
PA,Upper Perkiomen Sd,PA,Hereford El Sch,422454007246,2000,Corporal punishment,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Upper Perkiomen Sd,PA,Hereford El Sch,422454007246,2000,Out-of-school suspension,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Upper Perkiomen Sd,PA,Hereford El Sch,422454007246,2000,Expulsions (total with or without educational services),,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Upper Perkiomen Sd,PA,Hereford El Sch,422454007246,2000,Expulsions without educational services,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Upper Perkiomen Sd,PA,Hereford El Sch,422454007246,2000,Expulsions under zero-tolerance policies,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Upper Perkiomen Sd,PA,Hereford El Sch,422454007246,2000,Total enrollment,,0.00,0.00,,,10.00,5.00,530.00,,545.00,0.00
PA,Upper Perkiomen Sd,PA,Marlborough El Sch,422454009968,2000,Corporal punishment,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Upper Perkiomen Sd,PA,Marlborough El Sch,422454009968,2000,Out-of-school suspension,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Upper Perkiomen Sd,PA,Marlborough El Sch,422454009968,2000,Expulsions (total with or without educational services),,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Upper Perkiomen Sd,PA,Marlborough El Sch,422454009968,2000,Expulsions without educational services,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Upper Perkiomen Sd,PA,Marlborough El Sch,422454009968,2000,Expulsions under zero-tolerance policies,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Upper Perkiomen Sd,PA,Marlborough El Sch,422454009968,2000,Total enrollment,,0.00,5.00,,,15.00,15.00,660.00,,695.00,0.00
PA,Upper Perkiomen Sd,PA,Upper Perkiomen Ms,422454003406,2000,Corporal punishment,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Upper Perkiomen Sd,PA,Upper Perkiomen Ms,422454003406,2000,Out-of-school suspension,,0.00,0.00,,,0.00,5.00,35.00,,45.00,0.00
PA,Upper Perkiomen Sd,PA,Upper Perkiomen Ms,422454003406,2000,Expulsions (total with or without educational services),,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Upper Perkiomen Sd,PA,Upper Perkiomen Ms,422454003406,2000,Expulsions without educational services,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Upper Perkiomen Sd,PA,Upper Perkiomen Ms,422454003406,2000,Expulsions under zero-tolerance policies,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Upper Perkiomen Sd,PA,Upper Perkiomen Ms,422454003406,2000,Total enrollment,,0.00,5.00,,,20.00,15.00,1050.00,,1095.00,0.00
PA,Norristown Area Sd,PA,East Norriton Ms,421698003265,2000,Corporal punishment,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Norristown Area Sd,PA,East Norriton Ms,421698003265,2000,Out-of-school suspension,,0.00,0.00,,,0.00,70.00,25.00,,95.00,0.00
PA,Norristown Area Sd,PA,East Norriton Ms,421698003265,2000,Expulsions (total with or without educational services),,0.00,0.00,,,0.00,5.00,0.00,,5.00,0.00
PA,Norristown Area Sd,PA,East Norriton Ms,421698003265,2000,Expulsions without educational services,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Norristown Area Sd,PA,East Norriton Ms,421698003265,2000,Expulsions under zero-tolerance policies,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Norristown Area Sd,PA,East Norriton Ms,421698003265,2000,Total enrollment,,0.00,5.00,,,15.00,140.00,175.00,,335.00,5.00
PA,Colonial Sd,PA,Colonial El Sch,421947007176,2000,Corporal punishment,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Colonial Sd,PA,Colonial El Sch,421947007176,2000,Out-of-school suspension,,0.00,0.00,,,0.00,10.00,10.00,,20.00,0.00
PA,Colonial Sd,PA,Colonial El Sch,421947007176,2000,Expulsions (total with or without educational services),,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Colonial Sd,PA,Colonial El Sch,421947007176,2000,Expulsions without educational services,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Colonial Sd,PA,Colonial El Sch,421947007176,2000,Expulsions under zero-tolerance policies,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Colonial Sd,PA,Colonial El Sch,421947007176,2000,Total enrollment,,0.00,30.00,,,10.00,65.00,630.00,,735.00,0.00
PA,Colonial Sd,PA,Plymouth-Whitemarsh Shs,421947003333,2000,Corporal punishment,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Colonial Sd,PA,Plymouth-Whitemarsh Shs,421947003333,2000,Out-of-school suspension,,0.00,10.00,,,0.00,50.00,135.00,,195.00,0.00
PA,Colonial Sd,PA,Plymouth-Whitemarsh Shs,421947003333,2000,Expulsions (total with or without educational services),,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Colonial Sd,PA,Plymouth-Whitemarsh Shs,421947003333,2000,Expulsions without educational services,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Colonial Sd,PA,Plymouth-Whitemarsh Shs,421947003333,2000,Expulsions under zero-tolerance policies,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Colonial Sd,PA,Plymouth-Whitemarsh Shs,421947003333,2000,Total enrollment,,5.00,150.00,,,35.00,55.00,1230.00,,1470.00,0.00
PA,Colonial Sd,PA,Colonial Ms,421947005077,2000,Corporal punishment,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Colonial Sd,PA,Colonial Ms,421947005077,2000,Out-of-school suspension,,0.00,0.00,,,0.00,35.00,55.00,,95.00,0.00
PA,Colonial Sd,PA,Colonial Ms,421947005077,2000,Expulsions (total with or without educational services),,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Colonial Sd,PA,Colonial Ms,421947005077,2000,Expulsions without educational services,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Colonial Sd,PA,Colonial Ms,421947005077,2000,Expulsions under zero-tolerance policies,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Colonial Sd,PA,Colonial Ms,421947005077,2000,Total enrollment,,0.00,40.00,,,5.00,90.00,995.00,,1130.00,0.00
PA,Colonial Sd,PA,Conshohocken El Sch,421947003261,2000,Corporal punishment,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Colonial Sd,PA,Conshohocken El Sch,421947003261,2000,Out-of-school suspension,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Colonial Sd,PA,Conshohocken El Sch,421947003261,2000,Expulsions (total with or without educational services),,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Colonial Sd,PA,Conshohocken El Sch,421947003261,2000,Expulsions without educational services,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Colonial Sd,PA,Conshohocken El Sch,421947003261,2000,Expulsions under zero-tolerance policies,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Colonial Sd,PA,Conshohocken El Sch,421947003261,2000,Total enrollment,,0.00,10.00,,,5.00,40.00,120.00,,175.00,0.00
PA,Pottsgrove Sd,PA,West Pottsgrove El Sch,421965003336,2000,Corporal punishment,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Pottsgrove Sd,PA,West Pottsgrove El Sch,421965003336,2000,Out-of-school suspension,,0.00,0.00,,,0.00,0.00,5.00,,5.00,0.00
PA,Pottsgrove Sd,PA,West Pottsgrove El Sch,421965003336,2000,Expulsions (total with or without educational services),,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Pottsgrove Sd,PA,West Pottsgrove El Sch,421965003336,2000,Expulsions without educational services,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Pottsgrove Sd,PA,West Pottsgrove El Sch,421965003336,2000,Expulsions under zero-tolerance policies,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Pottsgrove Sd,PA,West Pottsgrove El Sch,421965003336,2000,Total enrollment,,0.00,5.00,,,10.00,45.00,375.00,,440.00,0.00
PA,Pottsgrove Sd,PA,Pottsgrove Intrmd Sch,421965006746,2000,Corporal punishment,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Pottsgrove Sd,PA,Pottsgrove Intrmd Sch,421965006746,2000,Out-of-school suspension,,0.00,0.00,,,0.00,15.00,35.00,,50.00,0.00
PA,Pottsgrove Sd,PA,Pottsgrove Intrmd Sch,421965006746,2000,Expulsions (total with or without educational services),,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Pottsgrove Sd,PA,Pottsgrove Intrmd Sch,421965006746,2000,Expulsions without educational services,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Pottsgrove Sd,PA,Pottsgrove Intrmd Sch,421965006746,2000,Expulsions under zero-tolerance policies,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Pottsgrove Sd,PA,Pottsgrove Intrmd Sch,421965006746,2000,Total enrollment,,5.00,5.00,,,5.00,110.00,605.00,,735.00,5.00
PA,Pottsgrove Sd,PA,Ringing Rocks El Sch,421965003337,2000,Corporal punishment,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Pottsgrove Sd,PA,Ringing Rocks El Sch,421965003337,2000,Out-of-school suspension,,0.00,0.00,,,0.00,0.00,10.00,,10.00,0.00
PA,Pottsgrove Sd,PA,Ringing Rocks El Sch,421965003337,2000,Expulsions (total with or without educational services),,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Pottsgrove Sd,PA,Ringing Rocks El Sch,421965003337,2000,Expulsions without educational services,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Pottsgrove Sd,PA,Ringing Rocks El Sch,421965003337,2000,Expulsions under zero-tolerance policies,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Pottsgrove Sd,PA,Ringing Rocks El Sch,421965003337,2000,Total enrollment,,0.00,0.00,,,5.00,35.00,455.00,,495.00,0.00
PA,Spring-Ford Area Sd,PA,Oaks El Sch,422256004809,2000,Corporal punishment,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Spring-Ford Area Sd,PA,Oaks El Sch,422256004809,2000,Out-of-school suspension,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Spring-Ford Area Sd,PA,Oaks El Sch,422256004809,2000,Expulsions (total with or without educational services),,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Spring-Ford Area Sd,PA,Oaks El Sch,422256004809,2000,Expulsions without educational services,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Spring-Ford Area Sd,PA,Oaks El Sch,422256004809,2000,Expulsions under zero-tolerance policies,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Spring-Ford Area Sd,PA,Oaks El Sch,422256004809,2000,Total enrollment,,0.00,30.00,,,5.00,10.00,440.00,,490.00,5.00
PA,Springfield Sd,PA,Springfield Hs,422260001950,2000,Corporal punishment,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Springfield Sd,PA,Springfield Hs,422260001950,2000,Out-of-school suspension,,0.00,0.00,,,0.00,5.00,30.00,,35.00,0.00
PA,Springfield Sd,PA,Springfield Hs,422260001950,2000,Expulsions (total with or without educational services),,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Springfield Sd,PA,Springfield Hs,422260001950,2000,Expulsions without educational services,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Springfield Sd,PA,Springfield Hs,422260001950,2000,Expulsions under zero-tolerance policies,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Springfield Sd,PA,Springfield Hs,422260001950,2000,Total enrollment,,0.00,10.00,,,5.00,60.00,1070.00,,1145.00,0.00
PA,Springfield Sd,PA,Scenic Hills El Sch,422260006519,2000,Corporal punishment,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Springfield Sd,PA,Scenic Hills El Sch,422260006519,2000,Out-of-school suspension,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Springfield Sd,PA,Scenic Hills El Sch,422260006519,2000,Expulsions (total with or without educational services),,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Springfield Sd,PA,Scenic Hills El Sch,422260006519,2000,Expulsions without educational services,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Springfield Sd,PA,Scenic Hills El Sch,422260006519,2000,Expulsions under zero-tolerance policies,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Springfield Sd,PA,Scenic Hills El Sch,422260006519,2000,Total enrollment,,0.00,5.00,,,0.00,15.00,545.00,,560.00,0.00
PA,Springfield Sd,PA,Sabold El Sch,422260006518,2000,Corporal punishment,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Springfield Sd,PA,Sabold El Sch,422260006518,2000,Out-of-school suspension,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Springfield Sd,PA,Sabold El Sch,422260006518,2000,Expulsions (total with or without educational services),,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Springfield Sd,PA,Sabold El Sch,422260006518,2000,Expulsions without educational services,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Springfield Sd,PA,Sabold El Sch,422260006518,2000,Expulsions under zero-tolerance policies,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Springfield Sd,PA,Sabold El Sch,422260006518,2000,Total enrollment,,0.00,10.00,,,5.00,65.00,410.00,,490.00,5.00
PA,Springfield Sd,PA,Richardson Ms,422260001949,2000,Corporal punishment,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Springfield Sd,PA,Richardson Ms,422260001949,2000,Out-of-school suspension,,0.00,0.00,,,0.00,20.00,60.00,,80.00,0.00
PA,Springfield Sd,PA,Richardson Ms,422260001949,2000,Expulsions (total with or without educational services),,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Springfield Sd,PA,Richardson Ms,422260001949,2000,Expulsions without educational services,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Springfield Sd,PA,Richardson Ms,422260001949,2000,Expulsions under zero-tolerance policies,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Springfield Sd,PA,Richardson Ms,422260001949,2000,Total enrollment,,0.00,35.00,,,10.00,65.00,985.00,,1090.00,10.00
PA,Upper Dublin Sd,PA,Fort Washington El Sch,422439005251,2000,Corporal punishment,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Upper Dublin Sd,PA,Fort Washington El Sch,422439005251,2000,Out-of-school suspension,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Upper Dublin Sd,PA,Fort Washington El Sch,422439005251,2000,Expulsions (total with or without educational services),,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
PA,Upper Dublin Sd,PA,Fort Washington El Sch,422439005251,2000,Expulsions without educational services,,0.00,0.00,,,0.00,0.00,0.00,,0.00,0.00
